id,PIN,Address,Other PINs,Biz name or Taxpayer,Incentive?,In a TIF?,CCAO FMV certified (2025),CCAO AV certified,BOR FMV,BOR AV,AV with no reductions,AV Difference,Tax difference,AV with no incentives,AV Difference,Tax difference,AV with no reductions OR incentives,AV Difference,Tax difference,,,,,,,
12,12-31-301-021-0000,"501-505 Northwest Ave, Northlake","12-31-301-033-0000, 12-31-301-043-0000, 12-31-100-008-0000, 12-31-100-005-0000",Aligned ORD-01 &  ORD-02 Data Centers,Class 663,No,"$282,884,092","$28,288,410","$242,583,330","$24,258,333","$28,288,410","$4,030,077","$1,165,558","$60,645,833","$36,387,500","$9,144,162","$70,721,023","$46,462,690","$9,192,796",,,,,,,
14,12-31-200-023-0000,"505 Railroad Ave, Northlake",,Digital Realty ORD-23 Data Center,Class 677,No,"$190,579,480","$19,057,948","$61,463,160","$6,146,316","$19,057,948","$12,911,632","$3,566,657","$15,365,790","$9,219,474","$2,316,850","$47,644,870","$41,498,554","$8,974,620",,,,,,,
13,12-30-300-014-0000,"601 Northwest Ave, Northlake",,Microsoft CHI/CH2 Azure Data Center,Class 677,No,"$666,856,010","$66,685,601","$364,537,040","$36,453,704","$66,685,601","$30,231,897","$8,402,793","$91,134,260","$54,680,556","$13,741,199","$166,714,003","$130,260,299","$27,325,779",,,,,,,
16,12-27-302-005-0000,"9333/9355 & 9377 Grand Avenue, Franklin Park","12-27-302-007-0000, 12-27-302-008-0000, 12-27-302-013-0000, 12-27-302-014-0000, 12-27-302-015-0000",Digital Realty ORD-12 / ORD-13 & ORD-14 Data Centers,Class 677,No,"$223,376,016","$22,386,216","$147,619,192","$14,810,512","$22,386,216","$7,575,704","$15,390","$36,904,798","$22,094,286","$44,886","$55,844,004","$41,033,492","$8,963,298",,,,,,,
18,12-27-300-066-0000,"2425-2553 Edgington St / 2550 S MARTENS ST, Franklin Park",,Digital Realty,Class 597,No,"$40,682,513","$8,605,129","$29,108,541","$5,711,636","$8,605,129","$2,893,493","$5,878","$7,277,135","$1,565,499","$3,180","$10,170,628","$4,458,992","$806,471",,,,,,,
17,12-27-300-065-0000,"9401 Grand Ave, Franklin Park",12-27-300-064-0000,Digital Realty ORD-15 Data Center,Class 677,No,"$165,385,000","$16,538,500","$117,500,000","$11,750,000","$16,538,500","$4,788,500","$9,728","$29,375,000","$17,625,000","$35,806","$41,346,250","$29,596,250","$6,421,359",,,,,,,
20,09-28-300-013-0000,"1700 E TOUHY AVE, DES PLAINES",,Iron Mountain Data Centers,Class 597,No,"$29,872,816","$7,468,204","$24,806,704","$6,201,676","$7,468,204","$1,266,528","$306,392","$6,201,676",$0,$0,"$7,468,204","$1,266,528","$306,392",,,,,,,0
10,08-35-301-070-0000,"2299 BUSSE RD, Elk Grove Village",,Digital Realty Trust,Class 597,Yes,"$166,947,000","$41,736,750","$104,049,020","$26,012,255","$41,736,750","$15,724,495","$3,190,191","$26,012,255",$0,"-$23,482","$41,736,750","$15,724,495","$3,139,421",,,,,,,
4,08-35-300-004-0000,"1925 Busse Rd, Elk Grove Village",,SDC Chicago II Data Center,Class 677,Yes,"$148,793,512","$22,319,250","$95,188,000","$14,278,200","$22,319,250","$8,041,050","$1,629,007","$23,797,000","$9,518,800","$1,970,866","$37,198,378","$22,920,178","$4,662,034",,,,,,,
2,08-35-104-086-0000,"2020-80 Lunt, Elk Grove Village",,Stream DC Chicago I,Class 677,No,"$89,258,998","$10,434,361","$64,319,750","$7,569,650","$10,434,361","$2,864,711","$574,340","$16,079,938","$8,510,288","$1,766,744","$22,314,750","$14,745,100","$3,005,076",,,,,,,
1,08-35-104-080-0000,"2021 Lunt Ave, Elk Grove Village, IL 60007","08-35-104-075-0000; 08-35-104-084-0000
",EdgeConnex Inc.,Class 597,No,"$30,638,000","$7,659,500","$25,839,216","$6,459,804","$7,659,500","$1,199,696","$232,560","$6,459,804",$0,"-$5,831","$7,659,500","$1,199,696","$223,242",,,,,,,
6,08-34-402-064-0000,"2200 Busse Rd, Elk Grove Village",,Digital Realty CH1,Class 597,Yes,"$228,504,396","$57,126,099","$121,375,556","$30,343,889","$57,126,099","$26,782,210","$5,467,385","$30,343,889",$0,"-$27,392","$57,126,099","$26,782,210","$5,397,895",,,,,,,
3,08-34-402-060-0000,"1400-1520 E Devon, Elk Grove Village",08-34-402-062,Digital Realty Trust,Class 597,No,"$179,677,000","$44,919,250","$103,677,952","$25,919,488","$44,919,250","$18,999,762","$3,868,021","$25,919,488",$0,"-$23,398","$44,919,250","$18,999,762","$3,813,380",,,,,,,
9,08-34-200-022-0000,"1441 TOUHY AVE, ELK GROVE VILLAGE, IL 60007",,STACK Infrastructure,Class 677,Yes,"$227,000,000","$22,700,000","$159,995,690","$15,999,569","$22,700,000","$6,700,431","$1,347,485","$39,998,923","$23,999,354","$4,987,117","$56,750,000","$40,750,431","$8,322,905",,,,,,,
21,08-23-102-005-0000,"1305 E ALGONQUIN RD, MOUNT PROSPECT",,Lumen Arlington Heights 1,Class 663,Yes,"$12,522,452","$3,130,613","$12,522,450","$1,252,245","$3,130,613","$1,878,368","$450,649","$3,130,613","$1,878,368","$450,649","$3,130,613","$1,878,368","$450,649",,,,,,,
8,08-22-403-016-0000,"1501 / 1701 MIDWAY CT, ELK GROVE VILLAGE",,Prime Data Centers,Class 597,Yes,"$109,105,526","$27,276,382","$67,220,222","$16,805,056","$27,276,382","$10,471,326","$2,125,678","$16,805,056",-$1,"-$15,170","$27,276,382","$10,471,326","$2,092,498",,,,,,,
5,08-22-304-014-0000,"200 Innovation Dr, Elk Grove Village, IL 60007",,T5 Data Centers,Class 677,Yes,"$106,223,850","$10,622,385","$106,223,850","$10,622,385","$10,622,385",$0,"-$25,718","$26,555,963","$15,933,578","$3,311,032","$26,555,963","$15,933,578","$3,238,405",,,,,,,
7,08-22-303-015-0000,"201 Innovation Dr, Elk Grove Village",,Microsoft Campus Data Center,Class 677,Yes,"$94,489,000","$9,449,800","$83,332,700","$8,333,270","$9,449,800","$1,116,530","$210,818","$20,833,175","$12,499,905","$2,597,507","$23,622,250","$15,288,980","$3,114,158",,,,,,,
